Trades,Stop Hits,Win %,Avg Hold Days,Final Balance $,Total Return $,Total Return %,Max Drawdown $,Max Drawdown %,RDR,Score,N_base,Gap,N1,N2,N3,K,Stop %,CAGR %
96,2,66.7,25.1,5983.3,983.3,19.67,27275.47,90.59,0.04,0.0,16,12,16,28,40,1.5,0.5,1.7
94,0,66.0,25.8,6116.77,1116.77,22.34,27883.9,90.59,0.04,0.0,16,12,16,28,40,1.5,0.6,2.0
108,26,52.8,22.3,391.21,-4608.79,-92.18,10858.14,97.3,-0.42,0.4,16,12,16,28,40,1.6,0.2,-21.7
88,9,56.8,27.0,1809.74,-3190.26,-63.81,28358.6,94.85,-0.11,0.1,16,12,16,28,40,1.6,0.3,-9.3
87,4,58.6,27.4,2053.55,-2946.45,-58.93,20432.64,92.81,-0.14,0.1,16,12,16,28,40,1.6,0.4,-8.2
84,4,57.1,28.5,1187.64,-3812.36,-76.25,17955.58,95.15,-0.21,0.2,16,12,16,28,40,1.6,0.5,-12.9
80,0,53.8,29.9,1295.75,-3704.25,-74.09,18683.0,94.93,-0.2,0.1,16,12,16,28,40,1.6,0.6,-12.2
101,19,60.4,23.0,3974.24,-1025.76,-20.52,16598.96,84.92,-0.06,0.0,16,12,16,28,40,1.7,0.2,-2.2
86,7,59.3,27.3,9027.67,4027.67,80.55,20743.83,75.59,0.19,0.2,16,12,16,28,40,1.7,0.3,5.8
84,2,60.7,27.8,12824.47,7824.47,156.49,19213.09,68.63,0.41,0.6,16,12,16,28,40,1.7,0.4,9.5
84,1,61.9,27.8,14607.26,9607.26,192.15,23370.21,68.32,0.41,0.8,16,12,16,28,40,1.7,0.5,10.8
83,0,60.2,28.1,15280.47,10280.47,205.61,23957.23,70.03,0.43,0.9,16,12,16,28,40,1.7,0.6,11.3
81,18,59.3,29.0,2034.03,-2965.97,-59.32,12665.72,87.86,-0.23,0.1,16,12,16,28,40,1.8,0.2,-8.3
72,6,63.9,32.2,5622.39,622.39,12.45,10403.68,79.46,0.06,0.0,16,12,16,28,40,1.8,0.3,1.1
74,3,62.2,31.2,4542.54,-457.46,-9.15,9447.74,72.16,-0.05,0.0,16,12,16,28,40,1.8,0.4,-0.9
73,2,63.0,31.6,4122.57,-877.43,-17.55,9784.82,74.73,-0.09,0.0,16,12,16,28,40,1.8,0.5,-1.8
73,1,63.0,31.7,4879.32,-120.68,-2.41,10052.14,76.77,-0.01,0.0,16,12,16,28,40,1.8,0.6,-0.2
83,19,56.6,27.7,4653.23,-346.77,-6.94,14877.23,81.95,-0.02,0.0,16,12,16,28,40,1.9,0.2,-0.7
71,4,62.0,32.9,22056.28,17056.28,341.13,20014.07,69.56,0.85,2.9,16,12,16,28,40,1.9,0.3,15.3
69,2,62.3,33.7,20948.01,15948.01,318.96,16157.78,63.04,0.99,3.2,16,12,16,28,40,1.9,0.4,14.7
69,1,62.3,33.9,22005.83,17005.83,340.12,16756.24,66.46,1.01,3.4,16,12,16,28,40,1.9,0.5,15.3
68,1,61.8,34.1,15869.55,10869.55,217.39,18034.92,71.53,0.6,1.3,16,12,16,28,40,1.9,0.6,11.7
80,19,57.5,28.6,3388.18,-1611.82,-32.24,27433.85,91.24,-0.06,0.0,16,12,16,28,40,2.0,0.2,-3.7
72,9,61.1,31.7,4299.7,-700.3,-14.01,37199.61,91.76,-0.02,0.0,16,12,16,28,40,2.0,0.3,-1.4
69,3,65.2,32.8,14478.1,9478.1,189.56,26650.31,70.32,0.36,0.7,16,12,16,28,40,2.0,0.4,10.7
69,2,66.7,33.1,19550.7,14550.7,291.01,27914.79,73.65,0.52,1.5,16,12,16,28,40,2.0,0.5,14.0
68,1,66.2,33.1,18312.51,13312.51,266.25,29702.1,78.37,0.45,1.2,16,12,16,28,40,2.0,0.6,13.3
68,17,60.3,32.3,5732.02,732.02,14.64,25041.42,86.88,0.03,0.0,16,12,16,28,40,2.1,0.2,1.3
57,9,61.4,38.5,8191.35,3191.35,63.83,28295.96,84.46,0.11,0.1,16,12,16,28,40,2.1,0.3,4.9
51,4,62.7,43.4,8184.16,3184.16,63.68,23620.47,81.95,0.13,0.1,16,12,16,28,40,2.1,0.4,4.8
49,4,57.1,46.0,1774.25,-3225.75,-64.51,27533.97,95.53,-0.12,0.1,16,12,16,28,40,2.1,0.5,-9.5
47,2,61.7,48.1,3365.41,-1634.59,-32.69,27303.16,94.73,-0.06,0.0,16,12,16,28,40,2.1,0.6,-3.7
63,13,65.1,33.9,18469.14,13469.14,269.38,28533.54,73.25,0.47,1.3,16,12,16,28,40,2.2,0.2,13.4
53,5,67.9,42.0,29769.9,24769.9,495.4,73749.16,78.02,0.34,1.7,16,12,16,28,40,2.2,0.3,18.7
51,2,64.7,42.5,17705.5,12705.5,254.11,38841.9,77.53,0.33,0.8,16,12,16,28,40,2.2,0.4,12.9
51,2,66.7,43.3,20045.13,15045.13,300.9,35105.06,77.56,0.43,1.3,16,12,16,28,40,2.2,0.5,14.3
49,0,65.3,45.0,24565.98,19565.98,391.32,39120.36,77.91,0.5,2.0,16,12,16,28,40,2.2,0.6,16.5
56,10,66.1,37.0,32433.2,27433.2,548.66,13737.2,42.36,2.0,11.0,16,12,16,28,40,2.3,0.2,19.7
51,3,70.6,41.3,89568.79,84568.79,1691.38,22911.45,25.58,3.69,62.4,16,12,16,28,40,2.3,0.3,31.9
50,2,70.0,42.1,74085.39,69085.39,1381.71,18950.84,25.58,3.65,50.4,16,12,16,28,40,2.3,0.4,29.5
49,1,69.4,43.2,63520.69,58520.69,1170.41,16248.41,25.58,3.6,42.1,16,12,16,28,40,2.3,0.5,27.6
